到课率,习题正确率,预习率,成绩
0.790 ,,,75
0.860 ,,,72
0.790 ,,,64
0.890 ,,,63
0.890 ,,,59
0.860 ,,,79
0.640 ,,,59
0.890 ,,,59
0.860 ,,,59
0.890 ,,,76
0.890 ,,,70
0.820 ,,,65
0.640 ,,,67
0.890 ,,,61
0.860 ,,,69
0.820 ,,,74
0.790 ,,,69
0.930 ,,,61
0.710 ,,,61
0.790 ,,,72
0.710 ,,,67
0.710 ,,,73
0.890 ,,,85
0.790 ,,1.000 ,59
0.970 ,,1.000 ,83
0.910 ,,1.000 ,69
0.910 ,,1.000 ,59
0.970 ,,1.000 ,59
0.940 ,,0.500 ,75
0.940 ,,1.000 ,61
0.910 ,,0.000 ,59
0.970 ,,0.000 ,59
0.970 ,,0.500 ,64
0.940 ,,0.500 ,62
0.970 ,,1.000 ,85
0.180 ,,1.000 ,59
0.970 ,,1.000 ,59
0.940 ,,1.000 ,77
0.970 ,,1.000 ,59
0.940 ,,1.000 ,72
0.970 ,,1.000 ,68
0.970 ,,1.000 ,61
0.970 ,,1.000 ,64
0.940 ,,1.000 ,64
0.290 ,,1.000 ,59
0.880 ,,1.000 ,59
0.970 ,,0.000 ,70
0.320 ,,1.000 ,59
0.500 ,,1.000 ,59
0.970 ,,0.000 ,60
0.820 ,,1.000 ,67
0.970 ,,0.500 ,68
0.940 ,,1.000 ,59
0.910 ,,1.000 ,66
0.910 ,,0.000 ,59
0.940 ,,1.000 ,59
0.940 ,,1.000 ,74
0.970 ,,1.000 ,71
0.970 ,,1.000 ,60
0.970 ,,1.000 ,63
0.880 ,,1.000 ,67
0.970 ,,1.000 ,67
0.940 ,,1.000 ,62
0.970 ,,1.000 ,89
0.940 ,,0.000 ,60
0.880 ,,1.000 ,59
0.970 ,,0.500 ,76
0.910 ,,0.500 ,68
0.910 ,,1.000 ,59
0.970 ,,0.000 ,59
0.880 ,,1.000 ,73
0.970 ,,0.000 ,59
0.970 ,,1.000 ,63
0.970 ,,1.000 ,68
0.970 ,,1.000 ,66
0.970 ,,1.000 ,62
0.790 ,,0.000 ,59
0.970 ,,1.000 ,65
0.850 ,,0.000 ,70
0.850 ,,0.000 ,90
0.400 ,,0.000 ,85
0.900 ,,0.333 ,85
0.850 ,,0.667 ,60
0.950 ,,0.000 ,71
0.900 ,,0.667 ,73
0.800 ,,0.000 ,84
0.850 ,,0.000 ,87
1.000 ,,0.000 ,89
0.950 ,,0.667 ,59
0.950 ,,0.667 ,59
0.950 ,,1.000 ,71
1.000 ,,0.000 ,76
0.800 ,,0.000 ,83
0.950 ,,1.000 ,91
0.750 ,,0.000 ,82
0.750 ,,1.000 ,59
0.950 ,,0.667 ,76
0.950 ,,1.000 ,77
0.950 ,,0.000 ,59
0.900 ,,0.333 ,59
0.900 ,,1.000 ,84
1.000 ,,1.000 ,90
0.900 ,,0.667 ,75
0.800 ,,0.667 ,72
0.950 ,,1.000 ,80
0.950 ,,0.333 ,60
0.800 ,,0.667 ,94
0.950 ,,1.000 ,81
0.950 ,,1.000 ,90
0.950 ,,0.667 ,90
1.000 ,,1.000 ,79
1.000 ,,1.000 ,59
0.950 ,,1.000 ,73
0.850 ,,1.000 ,59
1.000 ,,0.000 ,59
0.900 ,,1.000 ,82
0.900 ,,0.333 ,91
0.950 ,,0.000 ,60
0.950 ,,0.333 ,93
0.850 ,,0.000 ,70
0.950 ,,0.667 ,78
0.850 ,,0.000 ,73
0.900 ,,0.000 ,84
0.950 ,,0.667 ,83
0.950 ,,0.333 ,78
0.950 ,,0.667 ,69
1.000 ,,1.000 ,97
0.950 ,,0.667 ,79
0.800 ,,1.000 ,78
0.650 ,,0.000 ,76
0.900 ,,0.667 ,88
0.900 ,,0.000 ,73
0.850 ,,0.667 ,72
0.750 ,,0.667 ,86
0.800 ,,0.000 ,68
0.900 ,,0.000 ,72
0.850 ,,1.000 ,63
0.800 ,,0.667 ,70
0.850 ,,0.333 ,92
0.950 ,,0.000 ,80
0.750 ,,0.667 ,67
0.900 ,,0.000 ,84
0.850 ,,0.667 ,59
0.850 ,,0.000 ,65
0.900 ,,0.667 ,80
0.850 ,,0.333 ,66
1.000 ,,0.667 ,78
0.850 ,,0.667 ,78
0.950 ,,1.000 ,87
0.900 ,,0.333 ,59
0.900 ,,0.000 ,76
0.750 ,,0.000 ,78
0.850 ,,0.667 ,72
0.950 ,,1.000 ,66
0.900 ,,0.667 ,79
1.000 ,,0.667 ,81
0.900 ,,1.000 ,88
0.750 ,,0.000 ,76
0.800 ,,1.000 ,84
0.950 ,,0.000 ,83
0.950 ,,0.667 ,85
0.800 ,,1.000 ,67
0.000 ,0.000 ,0.000 ,59
0.739 ,0.343 ,1.000 ,59
1.000 ,0.722 ,1.000 ,67
0.522 ,0.426 ,1.000 ,86
0.957 ,0.454 ,0.900 ,73
0.348 ,0.278 ,1.000 ,49
0.609 ,0.352 ,0.000 ,85
1.000 ,0.741 ,1.000 ,87
0.826 ,0.509 ,1.000 ,85
0.826 ,0.407 ,1.000 ,66
1.000 ,0.694 ,1.000 ,79
0.826 ,0.593 ,1.000 ,75
0.957 ,0.509 ,0.900 ,86
0.957 ,0.574 ,1.000 ,81
1.000 ,0.741 ,1.000 ,73
0.478 ,0.222 ,0.800 ,59
0.957 ,0.741 ,1.000 ,63
0.913 ,0.509 ,1.000 ,89
1.000 ,0.722 ,1.000 ,89
0.696 ,0.593 ,1.000 ,90
1.000 ,0.685 ,1.000 ,80
0.913 ,0.685 ,0.900 ,65
1.000 ,0.731 ,1.000 ,73
1.000 ,0.620 ,1.000 ,91
0.957 ,0.676 ,1.000 ,69
0.478 ,0.333 ,1.000 ,59
0.000 ,0.000 ,0.000 ,81
0.957 ,0.593 ,1.000 ,59
1.000 ,0.537 ,1.000 ,59
1.000 ,0.620 ,1.000 ,73
1.000 ,0.806 ,1.000 ,65
1.000 ,0.704 ,1.000 ,68
1.000 ,0.704 ,1.000 ,65
1.000 ,0.667 ,1.000 ,84
0.652 ,0.398 ,1.000 ,59
0.957 ,0.583 ,1.000 ,78
0.913 ,0.861 ,1.000 ,66
1.000 ,0.907 ,1.000 ,95
0.870 ,0.620 ,0.900 ,44
0.913 ,0.898 ,1.000 ,63
0.957 ,0.722 ,0.900 ,89
1.000 ,0.759 ,1.000 ,70
0.913 ,0.370 ,1.000 ,69
0.130 ,0.000 ,0.000 ,59
