到课率,习题正确率,预习率,成绩
0.790 ,0.222 ,0.333 ,87
0.380 ,0.000 ,0.000 ,59
0.520 ,0.222 ,0.667 ,59
0.520 ,0.111 ,0.833 ,72
0.860 ,0.000 ,0.667 ,74
0.660 ,0.000 ,0.000 ,73
0.310 ,0.000 ,0.000 ,59
0.930 ,0.000 ,0.000 ,77
0.860 ,0.333 ,0.000 ,59
0.760 ,0.333 ,0.000 ,70
0.760 ,0.000 ,0.167 ,64
0.930 ,0.333 ,0.000 ,89
0.790 ,0.444 ,0.333 ,83
0.860 ,0.222 ,0.667 ,78
0.590 ,0.778 ,0.000 ,59
0.720 ,0.333 ,0.000 ,70
0.550 ,0.222 ,0.333 ,62
0.760 ,0.444 ,0.833 ,75
0.720 ,0.333 ,0.833 ,63
0.970 ,0.556 ,0.333 ,92
0.970 ,0.889 ,0.333 ,76
0.590 ,0.000 ,0.000 ,64
0.660 ,0.333 ,0.167 ,74
0.930 ,0.111 ,0.000 ,64
0.930 ,0.556 ,0.167 ,61
0.690 ,0.556 ,0.667 ,67
0.620 ,0.111 ,0.167 ,71
0.620 ,0.000 ,0.000 ,74
0.790 ,0.000 ,0.000 ,75
0.760 ,0.889 ,0.000 ,62
0.660 ,0.556 ,0.000 ,59
0.930 ,0.444 ,0.167 ,66
0.000 ,0.889 ,1.000 ,89
0.520 ,0.111 ,0.833 ,71
0.480 ,0.778 ,0.000 ,65
0.930 ,0.333 ,0.167 ,92
0.770 ,0.744 ,0.000 ,83
0.740 ,0.744 ,0.417 ,93
0.810 ,0.822 ,0.667 ,67
0.810 ,0.822 ,0.250 ,95
0.840 ,0.992 ,0.083 ,90
0.160 ,0.295 ,0.083 ,84
0.770 ,0.961 ,0.500 ,95
0.840 ,0.527 ,0.167 ,84
0.810 ,0.667 ,0.250 ,87
0.840 ,0.930 ,0.083 ,94
0.840 ,0.822 ,0.833 ,86
0.840 ,0.744 ,0.500 ,76
0.840 ,0.822 ,0.333 ,90
0.810 ,0.698 ,0.250 ,95
0.840 ,0.667 ,0.167 ,91
0.840 ,0.744 ,0.000 ,90
0.710 ,0.698 ,0.167 ,83
0.810 ,0.729 ,0.167 ,87
0.810 ,0.822 ,0.667 ,94
0.840 ,0.667 ,0.250 ,82
0.840 ,0.744 ,0.583 ,81
0.810 ,0.791 ,0.333 ,86
0.810 ,0.729 ,0.000 ,81
0.810 ,0.667 ,0.167 ,78
0.840 ,0.667 ,0.500 ,63
0.770 ,0.310 ,0.583 ,80
0.710 ,0.419 ,0.250 ,88
0.810 ,0.667 ,0.417 ,93
0.810 ,0.605 ,0.417 ,77
0.810 ,0.620 ,0.083 ,87
0.840 ,0.698 ,0.250 ,88
0.810 ,0.868 ,0.333 ,95
0.710 ,0.527 ,0.417 ,78
0.840 ,0.868 ,0.083 ,78
0.840 ,0.837 ,0.083 ,74
0.840 ,0.930 ,0.167 ,76
0.810 ,0.651 ,0.000 ,67
0.840 ,0.868 ,0.250 ,80
0.840 ,0.791 ,0.083 ,80
0.840 ,0.837 ,0.167 ,83
0.840 ,1.054 ,0.167 ,79
0.840 ,1.054 ,0.083 ,83
0.840 ,0.744 ,0.500 ,75
0.840 ,0.667 ,0.083 ,95
0.810 ,0.791 ,0.833 ,76
0.810 ,1.008 ,0.167 ,88
0.840 ,0.822 ,0.083 ,67
0.840 ,0.775 ,0.167 ,77
0.770 ,0.667 ,0.250 ,73
0.840 ,0.868 ,0.333 ,83
0.740 ,0.775 ,0.167 ,80
0.810 ,0.868 ,0.417 ,81
0.840 ,0.961 ,0.167 ,89
0.840 ,1.101 ,0.500 ,87
0.770 ,0.791 ,0.667 ,87
0.840 ,1.085 ,0.250 ,89
0.840 ,0.837 ,0.333 ,71
0.770 ,0.310 ,0.333 ,67
0.840 ,0.822 ,0.833 ,92
0.840 ,0.698 ,0.083 ,87
0.840 ,0.992 ,0.583 ,70
0.840 ,0.775 ,0.000 ,68
0.840 ,0.667 ,0.167 ,85
0.840 ,0.574 ,0.583 ,93
0.840 ,0.667 ,0.417 ,90
0.840 ,0.729 ,0.167 ,81
0.810 ,0.698 ,0.167 ,74
0.810 ,0.698 ,0.333 ,72
0.810 ,0.729 ,0.333 ,90
0.740 ,0.698 ,0.333 ,83
0.840 ,0.729 ,0.250 ,64
0.810 ,0.698 ,0.083 ,74
0.810 ,0.744 ,0.167 ,84
0.840 ,0.822 ,0.583 ,87
0.740 ,0.667 ,0.167 ,75
0.810 ,0.791 ,0.167 ,70
0.740 ,0.264 ,0.083 ,76
0.840 ,0.651 ,0.417 ,79
0.840 ,0.419 ,0.250 ,70
0.770 ,0.651 ,0.333 ,80
0.840 ,0.775 ,0.583 ,86
0.840 ,0.837 ,0.167 ,84
0.810 ,0.837 ,1.000 ,90
0.840 ,0.837 ,0.417 ,91
0.840 ,0.915 ,0.917 ,89
0.840 ,0.698 ,0.917 ,69
0.810 ,0.450 ,0.000 ,66
0.810 ,0.868 ,0.083 ,93
0.770 ,0.791 ,0.083 ,75
0.840 ,0.930 ,0.833 ,93
0.840 ,0.775 ,0.333 ,94
0.840 ,0.667 ,0.167 ,82
0.840 ,0.620 ,0.250 ,68
0.770 ,0.605 ,0.417 ,71
0.840 ,0.930 ,0.417 ,92
0.840 ,0.775 ,0.333 ,89
0.820 ,,0.194 ,81
0.910 ,,0.258 ,80
0.910 ,,1.000 ,72
0.910 ,,0.484 ,69
0.820 ,,0.323 ,90
0.910 ,,0.194 ,83
0.910 ,,0.839 ,65
0.640 ,,0.194 ,59
